,fecha_accidente,a_o_accidente,mes_accidente,dia_accidente,hora_accidente,gravedad_accidente,clase_accidente,sitio_exacto_accidente,cant_heridos_en_sitio_accidente,cantidad_accidentes,cant_muertos_en_sitio_accidente,Unnamed: 0,Latitud,Longitud
44,2023-01-11,2023,11,wed,1900-01-01 05:20:00,con muertos,atropello,via cordialidad km 1,0,1,1,44,10.9436,-74.83637
45,2023-01-11,2023,11,wed,1900-01-01 06:50:00,con heridos,choque,calle 30 # 4b - 50,2,1,,45,39.52676,-0.48606
46,2023-01-11,2023,11,wed,1900-01-01 07:30:00,con heridos,choque,carrera 82 # 111-990 via la playa,2,1,,46,4.65039,-74.14255
47,2023-01-11,2023,11,wed,1900-01-01 08:40:00,con heridos,choque,calle 110 cra 13b-04,1,1,,47,10.96713,-74.83437
48,2023-01-11,2023,11,wed,1900-01-01 12:20:00,con heridos,choque,via 40 calle 67b,1,1,,48,11.0025,-74.78421
49,2023-02-01,2023,1,mon,1900-01-01 02:15:00,con heridos,choque,calle 21 carrera 23,4,1,,49,10.96084,-74.77717
50,2023-02-01,2023,1,mon,1900-01-01 19:00:00,con heridos,atropello,calle 110 con cra 34,2,1,,50,10.97902,-74.79671
51,2023-02-01,2023,1,mon,1900-01-01 21:00:00,con heridos,choque,calle 51b con carrera 5,2,1,,51,10.94253,-74.80709
52,2023-02-01,2023,1,mon,1900-01-01 10:15:00,con heridos,choque,calle 32 carrera 42,1,1,,52,10.93753,-74.77503
53,2023-02-01,2023,1,mon,1900-01-01 00:40:00,con heridos,choque,calle 51b cra 3d,1,1,,53,10.9395,-74.80912
54,2023-02-02,2023,2,thu,1900-01-01 13:00:00,con heridos,choque,carrera 8 con calle 41,2,1,,54,10.97956,-74.77742
55,2023-02-02,2023,2,thu,1900-01-01 14:20:00,con heridos,atropello,calle 98 a carrera 6,2,1,,55,10.94406,-74.82764
56,2023-02-02,2023,2,thu,1900-01-01 10:15:00,con heridos,choque,carrera 15 sur #96-132,2,1,,56,10.83383,-74.76283
57,2023-02-02,2023,2,thu,1900-01-01 11:00:00,con heridos,choque,av. circunvalar cra 13,1,1,,57,10.95386,-74.76737
58,2023-02-02,2023,2,thu,1900-01-01 12:30:00,con heridos,choque,carrera 38 calle 17,1,1,,58,10.97533,-74.77527
59,2023-02-03,2023,3,thu,1900-01-01 07:00:00,con heridos,choque,cra 4 calle 45c,2,1,,59,10.93895,-74.8008
60,2023-02-04,2023,4,sun,1900-01-01 02:30:00,con heridos,choque,carrera 46 calle 74,1,1,,60,10.9955,-74.80776
61,2023-02-04,2023,4,sun,1900-01-01 02:40:00,con heridos,choque,calle 84 carrera 12,4,1,,61,10.96416,-74.82263
62,2023-02-04,2023,4,sun,1900-01-01 16:00:00,con heridos,choque,calle 47 con carrera 5,1,1,,62,10.94364,-74.80207
