,fecha_accidente,a_o_accidente,mes_accidente,dia_accidente,hora_accidente,gravedad_accidente,clase_accidente,sitio_exacto_accidente,cant_heridos_en_sitio_accidente,cantidad_accidentes,cant_muertos_en_sitio_accidente,Unnamed: 0,Latitud,Longitud
190,2023-04-06,2023,6,sun,1900-01-01 14:15:00,con heridos,choque,calle 82 carrera 55,3,1,,190,11.00702,-74.81271
191,2023-04-06,2023,6,sun,1900-01-01 15:30:00,con heridos,choque,carrera 38 con calle 79,1,1,,191,10.97634,-74.7769
192,2023-04-06,2023,6,sun,1900-01-01 04:30:00,con heridos,choque,av. via 40 # 85 - 2202,2,1,,192,-19.84099,-43.91038
193,2023-04-06,2023,6,sun,1900-01-01 17:40:00,con heridos,choque,calle 85 carrera 47,1,1,,193,11.00304,-74.82077
194,2023-04-06,2023,6,sun,1900-01-01 20:30:00,con heridos,choque,calle 49 carrera 3 sur,1,1,,194,10.93589,-74.80343
195,2023-04-06,2023,6,sun,1900-01-01 09:40:00,con heridos,choque,calle 110 carrera 13 sur,1,1,,195,10.96835,-74.83805
196,2023-04-06,2023,6,sun,1900-01-01 22:05:00,con heridos,choque,calle 85 con carrera 55,1,1,,196,11.00888,-74.81608
197,2023-04-07,2023,7,tue,1900-01-01 15:30:00,con heridos,choque,calle 76 con cra 50,2,1,,197,11.00044,-74.80817
198,2023-04-07,2023,7,tue,1900-01-01 05:40:00,con heridos,choque,carrera 45 calle 10,1,1,,198,10.98359,-74.77534
199,2023-04-07,2023,7,tue,1900-01-01 06:40:00,con heridos,choque,carrera 16 calle 45d,1,1,,199,10.95695,-74.79913
200,2023-04-07,2023,7,tue,1900-01-01 07:00:00,con heridos,choque,calle 110 con carrera 6q,2,1,,200,10.95161,-74.83444
201,2023-04-07,2023,7,tue,1900-01-01 20:40:00,con heridos,volcamiento,calle 12 #43-113,1,1,,201,39.52621,-0.49234
202,2023-04-07,2023,7,tue,1900-01-01 11:30:00,con heridos,choque,carrera 46 # 90-40,2,1,,202,3.40312,-76.51162
203,2023-04-07,2023,7,tue,1900-01-01 12:45:00,con heridos,choque,carrera 21b calle 64c,1,1,,203,10.96872,-74.80798
204,2023-04-08,2023,8,fri,1900-01-01 13:00:00,con heridos,choque,carrera 4 calle 33e,1,1,,204,10.93946,-74.78734
205,2023-04-08,2023,8,fri,1900-01-01 19:30:00,con heridos,choque,carrera 38 calle 10,1,1,,205,10.96575,-74.84277
206,2023-04-09,2023,9,mon,1900-01-01 17:50:00,con heridos,atropello,calle 110 con cra 34,1,1,,206,10.97902,-74.79671
207,2023-04-09,2023,9,mon,1900-01-01 06:30:00,con heridos,choque,calle 17 carrera 15 y 14,1,1,,207,10.96221,-74.80741
208,2023-04-09,2023,9,mon,1900-01-01 07:10:00,con heridos,choque,calle 39 carrera 23,1,1,,208,10.96411,-74.78811
209,2023-04-10,2023,10,wed,1900-01-01 14:30:00,con heridos,choque,calle 52 carrera 33,2,1,,209,10.97701,-74.79369
210,2023-04-10,2023,10,wed,1900-01-01 05:50:00,con heridos,choque,via 40 calle 66,18,1,,210,11.02512,-74.8024
211,2023-04-10,2023,10,wed,1900-01-01 06:00:00,con heridos,choque,avenida circunvalar carrera 15 sur,1,1,,211,10.93228,-74.78201
212,2023-04-10,2023,10,wed,1900-01-01 06:20:00,con heridos,choque,avenida murillo carrera 54,1,1,,212,10.99715,-74.79691
213,2023-04-10,2023,10,wed,1900-01-01 06:45:00,con heridos,choque,carrera 14 calle 56,1,1,,213,10.95872,-74.80327
214,2023-04-11,2023,11,sat,1900-01-01 13:30:00,con heridos,choque,calle 64 carrera 62,1,1,,214,10.99824,-74.79195
215,2023-04-11,2023,11,sat,1900-01-01 03:00:00,con muertos,choque,calle 110 carrera 6p,1,1,1,215,10.95128,-74.83437
216,2023-04-11,2023,11,sat,1900-01-01 16:00:00,con heridos,choque,carrera 21 calle 31,1,1,,216,10.9594,-74.78611
217,2023-04-11,2023,11,sat,1900-01-01 06:20:00,con heridos,choque,calle 6 con carrera 45,5,1,,217,10.92906,-74.78652
218,2023-04-11,2023,11,sat,1900-01-01 08:01:00,con heridos,choque,cra 49c calle 76,1,1,,218,10.99979,-74.80846
219,2023-04-11,2023,11,sat,1900-01-01 08:30:00,con heridos,choque,carrera 53 calle 68,1,1,,219,10.99616,-74.79801
220,2023-04-11,2023,11,sat,1900-01-01 12:00:00,con heridos,choque,carrera 6 sur calle 48,1,1,,220,10.9878,-74.78721
221,2023-05-01,2023,1,thu,1900-01-01 07:45:00,con heridos,choque,calle 75 carrera 60,1,1,,221,11.0053,-74.79907
222,2023-05-02,2023,2,sun,1900-01-01 05:00:00,con heridos,choque,calle 110 carrera 15,1,1,,222,10.96221,-74.80741
223,2023-05-02,2023,2,sun,1900-01-01 17:20:00,con heridos,choque,calle 93 carrera 42c,1,1,,223,10.99754,-74.83049
224,2023-05-02,2023,2,sun,1900-01-01 17:20:00,con heridos,choque,carrera 21 con calle 47d,1,1,,224,10.96425,-74.79626
225,2023-05-02,2023,2,sun,1900-01-01 19:45:00,con heridos,choque,carrera 38 calle 117 b,4,1,,225,10.97634,-74.7769
226,2023-05-03,2023,3,sun,1900-01-01 07:30:00,con heridos,choque,carrera 59 calle 70,2,1,,226,11.00064,-74.79672
227,2023-05-03,2023,3,sun,1900-01-01 20:00:00,con heridos,atropello,calle 64b carrera 21b,2,1,,227,10.9687,-74.80733
228,2023-05-03,2023,3,sun,1900-01-01 20:00:00,con heridos,atropello,carrera 43 con calle 30,1,1,,228,10.97636,-74.77736
229,2023-05-03,2023,3,sun,1900-01-01 10:00:00,con heridos,atropello,calle 34 con carrea 44,1,1,,229,10.97902,-74.79671
230,2023-05-03,2023,3,sun,1900-01-01 23:00:00,con heridos,choque,carrera 82 calle 109,1,1,,230,11.03911,-74.82661
231,2023-05-04,2023,4,wed,1900-01-01 14:50:00,con heridos,choque,calle 134 carrera 9b,2,1,,231,10.95623,-74.82941
232,2023-05-04,2023,4,wed,1900-01-01 06:45:00,con heridos,otro,carrera 46 calle 93,1,1,,232,11.0047,-74.82688
233,2023-05-04,2023,4,wed,1900-01-01 09:20:00,con heridos,caida ocupante,calle 14 carrera 12,1,1,,233,11.03167,-74.865
234,2023-05-04,2023,4,wed,1900-01-01 10:30:00,con heridos,choque,calle 80 con carrera 43b,1,1,,234,10.99712,-74.81545
235,2023-05-04,2023,4,wed,1900-01-01 10:35:00,con heridos,choque,carrera 15 sur #90-204,1,1,,235,10.83383,-74.76283
236,2023-05-04,2023,4,wed,1900-01-01 11:10:00,con heridos,choque,calle 55 carrera 14,1,1,,236,10.95798,-74.80265
237,2023-05-05,2023,5,fri,1900-01-01 15:25:00,con heridos,choque,calle 54 carrera 44,1,1,,237,10.98618,-74.7919
238,2023-05-05,2023,5,fri,1900-01-01 19:30:00,con heridos,choque,calle 72 carrera 36,1,1,,238,10.98455,-74.81198
239,2023-05-05,2023,5,fri,1900-01-01 08:20:00,con heridos,choque,calle 86 con carrera 21d,2,1,,239,10.97129,-74.82874
240,2023-05-05,2023,5,fri,1900-01-01 11:00:00,con heridos,choque,via 40 # 71-197,1,1,,240,-19.84099,-43.91038
241,2023-05-06,2023,6,mon,1900-01-01 16:50:00,con heridos,caida ocupante,calle 19 cra 5a,1,1,,241,10.94331,-74.77708
242,2023-05-06,2023,6,mon,1900-01-01 17:20:00,con heridos,choque,cra 15 sur calle 80,2,1,,242,10.96221,-74.80741
243,2023-05-06,2023,6,mon,1900-01-01 06:20:00,con heridos,choque,calle 72 con cra 46,1,1,,243,10.9943,-74.80551
244,2023-05-06,2023,6,mon,1900-01-01 18:30:00,con heridos,choque,cra 14 calle 57c,1,1,,244,10.97085,-74.83623
245,2023-05-07,2023,7,wed,1900-01-01 07:50:00,con heridos,choque,carrera 45 calle 80,2,1,,245,10.99847,-74.81465
246,2023-05-07,2023,7,wed,1900-01-01 07:50:00,con heridos,choque,carrera 46 calle 64,1,1,,246,10.99119,-74.79847
247,2023-05-07,2023,7,wed,1900-01-01 07:50:00,con heridos,choque,cra 17a con calle 17b,5,1,,247,11.02999,-74.86921
248,2023-05-07,2023,7,wed,1900-01-01 10:30:00,con heridos,choque,cra 8 calle 41,1,1,,248,10.94609,-74.79609
249,2023-05-07,2023,7,wed,1900-01-01 23:45:00,con heridos,choque,calle 110 con carrera 3 sur,1,1,,249,10.97286,-74.83714
250,2023-05-08,2023,8,sat,1900-01-01 15:00:00,con heridos,choque,carrera 11 con calle 33,1,1,,250,10.96068,-74.83956
251,2023-05-08,2023,8,sat,1900-01-01 15:20:00,con heridos,choque,calle 134 carrera 34,2,1,,251,10.97902,-74.79671
252,2023-05-08,2023,8,sat,1900-01-01 18:15:00,con heridos,choque,calle 110 carrera 31,1,1,,252,10.97831,-74.83616
253,2023-05-08,2023,8,sat,1900-01-01 18:20:00,con heridos,choque,calle 30 con carrera 23,3,1,,253,10.97636,-74.77736
254,2023-05-09,2023,9,tue,1900-01-01 16:30:00,con heridos,choque,calle 74 con cra 49,1,1,,254,10.95308,-74.8195
255,2023-05-09,2023,9,tue,1900-01-01 18:10:00,con heridos,volcamiento,calle 19 carrera 7b,1,1,,255,10.94754,-74.77531
256,2023-05-09,2023,9,tue,1900-01-01 06:45:00,con heridos,choque,calle 110 entre carrera 51b y 52,1,1,,256,11.0174,-74.83764
257,2023-05-09,2023,9,tue,1900-01-01 07:00:00,con heridos,choque,calle 53d carrera 23,1,1,,257,10.96994,-74.79917
258,2023-05-09,2023,9,tue,1900-01-01 07:10:00,con muertos,choque,carrera 41 con calle 52,0,1,1,258,10.97956,-74.77742
259,2023-05-09,2023,9,tue,1900-01-01 07:50:00,con heridos,choque,calle 38b carrera 11,2,1,,259,10.95155,-74.79348
260,2023-05-09,2023,9,tue,1900-01-01 12:30:00,con heridos,choque,carrera 43 con calle 82,1,1,,260,10.99761,-74.81799
261,2023-05-10,2023,10,thu,1900-01-01 14:40:00,con heridos,choque,carrera 43 calle 65,1,1,,261,10.9876,-74.79977
262,2023-05-10,2023,10,thu,1900-01-01 17:55:00,con heridos,choque,calle 75 carrera 48,2,1,,262,10.99759,-74.80814
263,2023-05-10,2023,10,thu,1900-01-01 07:35:00,con heridos,choque,calle 44 carrera 26,2,1,,263,10.96785,-74.78987
264,2023-05-10,2023,10,thu,1900-01-01 11:20:00,con heridos,choque,calle 70b carrera 41,1,1,,264,10.98854,-74.80696
265,2023-05-10,2023,10,thu,1900-01-01 12:20:00,con heridos,atropello,carrera 44 calle 57,1,1,,265,10.98693,-74.79441
266,2023-05-11,2023,11,sun,1900-01-01 13:50:00,con heridos,choque,carrera 45 calle 76,1,1,,266,10.99606,-74.81048
267,2023-05-11,2023,11,sun,1900-01-01 17:20:00,con heridos,atropello,calle 100 con carrera 22,1,1,,267,10.97086,-74.83167
268,2023-05-11,2023,11,sun,1900-01-01 12:35:00,con heridos,choque,carrera 1 sur con calle 99,1,1,,268,10.93486,-74.82976
269,2023-05-11,2023,11,sun,1900-01-01 12:55:00,con heridos,choque,calle 45 con carrera 38,1,1,,269,10.97634,-74.7769
270,2023-06-01,2023,1,fri,1900-01-01 06:30:00,con heridos,choque,calle 85 con carrera 46,2,1,,270,11.00232,-74.82107
271,2023-06-01,2023,1,fri,1900-01-01 21:40:00,con heridos,choque,avenida circunvalar con calle 77,1,1,,271,10.93233,-74.78199
272,2023-06-01,2023,1,fri,1900-01-01 23:45:00,solo daños,incendio,carrera 6 con calle 110,0,1,,272,10.94429,-74.80727
273,2023-06-02,2023,2,mon,1900-01-01 13:30:00,con heridos,choque,calle 31 carrera 25,1,1,,273,10.96456,-74.78375
274,2023-06-02,2023,2,mon,1900-01-01 14:00:00,con heridos,choque,carrera 19 calle 36,2,1,,274,10.95627,-74.78958
275,2023-06-02,2023,2,mon,1900-01-01 15:20:00,con heridos,otro,calle 31 # 21 - 109,1,1,,275,30.73479,-112.15386
276,2023-06-02,2023,2,mon,1900-01-01 16:20:00,con heridos,choque,av. circunvalar con calle 51b,1,1,,276,10.93231,-74.782
277,2023-06-02,2023,2,mon,1900-01-01 18:00:00,con heridos,atropello,calle 26 carrera 16,1,1,,277,10.95328,-74.78035
278,2023-06-02,2023,2,mon,1900-01-01 06:05:00,con heridos,choque,calle 84 carrera 57,1,1,,278,11.00927,-74.81328
279,2023-06-02,2023,2,mon,1900-01-01 18:20:00,con heridos,caida ocupante,carrera 44 con calle 37,1,1,,279,10.98332,-74.77992
280,2023-06-02,2023,2,mon,1900-01-01 19:00:00,con heridos,choque,carrera 44 con calle 50,12,1,,280,10.98533,-74.78883
281,2023-06-02,2023,2,mon,1900-01-01 23:05:00,con heridos,choque,calle 47 carrera 19,2,1,,281,10.96144,-74.79821
282,2023-06-02,2023,2,mon,1900-01-01 23:30:00,con heridos,volcamiento,carrera 20 calle 110 b,2,1,,282,10.9331,-74.83351
283,2023-06-03,2023,3,mon,1900-01-01 13:20:00,con heridos,choque,av. circunvalar cra 26,3,1,,283,10.9696,-74.79509
284,2023-06-03,2023,3,mon,1900-01-01 03:00:00,con heridos,choque,cordialidad cra 20,1,1,,284,10.94774,-74.83336
285,2023-06-03,2023,3,mon,1900-01-01 09:30:00,con heridos,choque,av. circunvalar con cra 6g,1,1,,285,10.94719,-74.83345
286,2023-06-04,2023,4,thu,1900-01-01 02:40:00,con muertos,otro,calle 45 con carrera 15 sur,0,1,1,286,10.92906,-74.78652
287,2023-06-04,2023,4,thu,1900-01-01 15:00:00,con heridos,choque,calle 45 #9 sur -19,1,1,,287,19.13155,-96.12153
288,2023-06-04,2023,4,thu,1900-01-01 15:50:00,con heridos,choque,calle 44 carrera 14,1,1,,288,10.95397,-74.79591
289,2023-06-04,2023,4,thu,1900-01-01 11:30:00,con heridos,choque,calle 84 con carrera 64,1,1,,289,11.01191,-74.8108
290,2023-06-05,2023,5,sat,1900-01-01 13:00:00,con heridos,choque,carrera 24 calle 47,1,1,,290,10.96718,-74.79253
291,2023-06-05,2023,5,sat,1900-01-01 03:10:00,con heridos,atropello,calle 110 carrera 12,1,1,,291,10.96446,-74.8385
292,2023-06-05,2023,5,sat,1900-01-01 15:30:00,con heridos,choque,calle 43 carrera 36,1,1,,292,10.97763,-74.7856
293,2023-06-05,2023,5,sat,1900-01-01 04:30:00,con heridos,choque,calle 47d carrera 6 sur,1,1,,293,10.94662,-74.8102
294,2023-06-05,2023,5,sat,1900-01-01 16:30:00,con heridos,choque,calle 24 carrera 23,1,1,,294,10.96109,-74.77964
295,2023-06-05,2023,5,sat,1900-01-01 16:30:00,con heridos,choque,carrera 24 con calle 47,1,1,,295,10.96718,-74.79253
296,2023-06-05,2023,5,sat,1900-01-01 06:10:00,con heridos,choque,calle 80b carrera 42d1,2,1,,296,10.99347,-74.82008
297,2023-06-05,2023,5,sat,1900-01-01 07:30:00,con heridos,choque,calle 45 carrera 9b,1,1,,297,10.94922,-74.79995
298,2023-06-05,2023,5,sat,1900-01-01 07:30:00,con heridos,choque,cra 46 calle 75,2,1,,298,10.99611,-74.80886
299,2023-06-05,2023,5,sat,1900-01-01 19:45:00,con heridos,atropello,carrera 47 calle 70,1,1,,299,10.99389,-74.803
300,2023-06-05,2023,5,sat,1900-01-01 21:32:00,con heridos,atropello,carrera 3g con calle 49e,1,1,,300,10.93882,-74.80414
301,2023-06-05,2023,5,sat,1900-01-01 22:20:00,con heridos,choque,carrera 26 calle 59,2,1,,301,10.97505,-74.80213
302,2023-06-05,2023,5,sat,1900-01-01 23:00:00,con heridos,choque,cra 47 con calle 80,2,1,,302,10.99983,-74.81386
303,2023-06-06,2023,6,tue,1900-01-01 13:00:00,con heridos,choque,calle 53d carrera 20b,1,1,,303,10.96686,-74.80109
304,2023-06-06,2023,6,tue,1900-01-01 06:20:00,con muertos,choque,via 40 con cra 67,1,1,1,304,11.00128,-74.78424
305,2023-06-06,2023,6,tue,1900-01-01 07:30:00,con heridos,choque,calle 5 con carrera 9,1,1,,305,10.9518,-74.81081
306,2023-06-06,2023,6,tue,1900-01-01 07:30:00,con heridos,choque,carrera 38 calle 52,1,1,,306,10.98121,-74.79263
307,2023-06-06,2023,6,tue,1900-01-01 11:45:00,con heridos,choque,calle 94 carrera 65,1,1,,307,11.0187,-74.81792
308,2023-06-07,2023,7,thu,1900-01-01 17:00:00,con heridos,choque,calle 99c cra 86-27,2,1,,308,10.97646,-74.83067
309,2023-06-07,2023,7,thu,1900-01-01 18:30:00,con heridos,choque,carrera 38 con calle 74,1,1,,309,10.95308,-74.8195
310,2023-06-07,2023,7,thu,1900-01-01 07:00:00,con heridos,choque,calle 112 carrera 16,1,1,,310,10.96777,-74.84187
311,2023-06-07,2023,7,thu,1900-01-01 08:10:00,con heridos,choque,calle 17 carrera 23,1,1,,311,10.9606,-74.77486
312,2023-06-07,2023,7,thu,1900-01-01 09:35:00,con heridos,choque,carrera 57 calle 90,2,1,,312,11.01278,-74.81867
313,2023-06-08,2023,8,sun,1900-01-01 01:00:00,con heridos,choque,carrera 43 calle 70,2,1,,313,10.99039,-74.80488
314,2023-06-08,2023,8,sun,1900-01-01 04:00:00,con heridos,choque,calle 42 carrera 24,1,1,,314,10.96598,-74.78989
315,2023-06-08,2023,8,sun,1900-01-01 16:00:00,con heridos,choque,calle 84 con carrera 64,1,1,,315,11.01191,-74.8108
316,2023-06-08,2023,8,sun,1900-01-01 17:10:00,con heridos,choque,calle 17 con carrera 8,1,1,,316,10.9476,-74.77325
317,2023-06-08,2023,8,sun,1900-01-01 17:25:00,con heridos,choque,calle 15 sur con carrera 73,1,1,,317,10.83387,-74.76337
318,2023-06-08,2023,8,sun,1900-01-01 18:05:00,con heridos,choque,calle 96 cra 15 sur,2,1,,318,10.96221,-74.80741
319,2023-06-08,2023,8,sun,1900-01-01 06:15:00,con heridos,choque,calle 51b carrera 11 sur,2,1,,319,10.96068,-74.83956
320,2023-06-08,2023,8,sun,1900-01-01 12:20:00,con heridos,choque,calle 15 sur con carrera 73,5,1,,320,10.83387,-74.76337
321,2023-06-09,2023,9,wed,1900-01-01 13:20:00,con heridos,choque,calle 75 con carrera 53,1,1,,321,11.00129,-74.80465
322,2023-06-09,2023,9,wed,1900-01-01 16:20:00,con heridos,choque,carrera 50 #84-110,2,1,,322,21.04515,-89.64057
323,2023-06-10,2023,10,fri,1900-01-01 16:50:00,con heridos,choque,calle 110 cra 9g,1,1,,323,10.95856,-74.82362
324,2023-06-10,2023,10,fri,1900-01-01 05:10:00,con heridos,choque,carrera 7c calle 19,2,1,,324,10.94703,-74.77588
325,2023-06-10,2023,10,fri,1900-01-01 20:15:00,con heridos,choque,calle 58 carrera 67,2,1,,325,11.00104,-74.78787
326,2023-06-10,2023,10,fri,1900-01-01 23:50:00,con heridos,choque,calle 75 carrera 49,3,1,,326,10.9983,-74.80778
327,2023-06-11,2023,11,mon,1900-01-01 18:20:00,con heridos,atropello,calle 42 # 24-95,1,1,,327,18.92563,-99.18881
328,2023-06-11,2023,11,mon,1900-01-01 21:20:00,con muertos,choque,carrera 38 calle 130,3,1,1,328,10.97634,-74.7769
329,2023-06-11,2023,11,mon,1900-01-01 10:45:00,con heridos,atropello,calle 49 carrera 2,2,1,,329,10.93572,-74.7881
330,2023-06-11,2023,11,mon,1900-01-01 11:20:00,con heridos,choque,calle 68 con carrera 2,1,1,,330,10.9363,-74.8178
331,2023-06-11,2023,11,mon,1900-01-01 00:50:00,con muertos,choque,carrera 21 con calle 85,3,1,1,331,10.97103,-74.82719
332,2023-07-01,2023,1,sat,1900-01-01 18:45:00,con heridos,choque,carrera 38 con calle 127 via juan mina,2,1,,332,10.97634,-74.7769
333,2023-07-01,2023,1,sat,1900-01-01 07:10:00,con heridos,choque,carrera 13 con calle 108,1,1,,333,11.03934,-74.82539
334,2023-07-01,2023,1,sat,1900-01-01 12:40:00,con heridos,choque,carrera 8 con calle 45,1,1,,334,10.92906,-74.78652
335,2023-07-02,2023,2,tue,1900-01-01 14:35:00,con heridos,atropello,calle 30 #41 - 58,1,1,,335,39.52676,-0.48606
336,2023-07-02,2023,2,tue,1900-01-01 09:00:00,con heridos,choque,carrera 42f calle 79b,1,1,,336,10.994,-74.81571
337,2023-07-03,2023,3,tue,1900-01-01 13:00:00,con heridos,choque,via 40 con calle 80,1,1,,337,11.02339,-74.80155
338,2023-07-03,2023,3,tue,1900-01-01 07:20:00,con heridos,choque,calle 24 con carrera 19,2,1,,338,10.96695,-74.80776
339,2023-07-03,2023,3,tue,1900-01-01 20:00:00,con heridos,choque,carrera 9g calle 130,1,1,,339,10.9826,-74.83047
340,2023-07-03,2023,3,tue,1900-01-01 20:30:00,con heridos,choque,carrera 14 con calle 35b,1,1,,340,10.95208,-74.7902
341,2023-07-04,2023,4,fri,1900-01-01 15:30:00,con heridos,choque,calle 39 carrera 27,1,1,,341,10.96803,-74.78622
342,2023-07-04,2023,4,fri,1900-01-01 17:30:00,con heridos,choque,calle 110 con carrera 3 sur,2,1,,342,10.97286,-74.83714
343,2023-07-04,2023,4,fri,1900-01-01 07:00:00,con heridos,choque,calle 85 con carrera 50,1,1,,343,11.00493,-74.81988
344,2023-07-04,2023,4,fri,1900-01-01 07:10:00,con heridos,choque,calle 52 carrera 62,1,1,,344,10.99649,-74.78852
345,2023-07-04,2023,4,fri,1900-01-01 08:30:00,con heridos,caida ocupante,calle 17 carrera 14a,1,1,,345,11.03075,-74.86741
346,2023-07-05,2023,5,sun,1900-01-01 01:30:00,con heridos,choque,cra 15 con calle 23,3,1,,346,10.96221,-74.80741
347,2023-07-05,2023,5,sun,1900-01-01 07:30:00,con heridos,choque,via 40 calle 72,2,1,,347,11.00894,-74.79088
348,2023-07-05,2023,5,sun,1900-01-01 08:30:00,con heridos,choque,calle 47 con carrera 20,1,1,,348,10.93293,-74.80406
349,2023-07-05,2023,5,sun,1900-01-01 21:12:00,con heridos,choque,carrera 24b # 75a-20,3,1,,349,3.43293,-76.51923
350,2023-07-05,2023,5,sun,1900-01-01 23:45:00,con heridos,choque,calle 110 carrera 43b,1,1,,350,10.99537,-74.81215
351,2023-07-06,2023,6,wed,1900-01-01 06:15:00,con heridos,choque,carrera 33 calle 43,1,1,,351,10.97446,-74.78655
352,2023-07-06,2023,6,wed,1900-01-01 06:20:00,con heridos,choque,calle 45 con carrera 110 (avenida murillo con circunvalar),1,1,,352,10.93231,-74.782
353,2023-07-06,2023,6,wed,1900-01-01 06:25:00,con heridos,choque,av. via 40 con calle 70c,1,1,,353,11.00449,-74.78754
354,2023-07-06,2023,6,wed,1900-01-01 07:10:00,con heridos,choque,carrera 67 calle 66,1,1,,354,11.00255,-74.78974
355,2023-07-06,2023,6,wed,1900-01-01 19:30:00,con heridos,choque,calle 110 carrera 9g,2,1,,355,10.95856,-74.82362
356,2023-07-06,2023,6,wed,1900-01-01 07:56:00,con heridos,choque,calle 79 cra 56,1,1,,356,11.00616,-74.80714
357,2023-07-06,2023,6,wed,1900-01-01 08:00:00,con heridos,caida ocupante,calle 110 carrera 43 y 46,1,1,,357,10.99217,-74.80805
358,2023-07-06,2023,6,wed,1900-01-01 08:10:00,con heridos,choque,calle 48 carrera 52,1,1,,358,10.99156,-74.78576
359,2023-07-06,2023,6,wed,1900-01-01 10:00:00,con heridos,atropello,calle 50 entre cra 31 y 32,2,1,,359,10.97462,-74.79226
360,2023-07-07,2023,7,fri,1900-01-01 15:50:00,con heridos,choque,carrera 25 con calle 58,1,1,,360,10.97687,-74.84657
361,2023-07-07,2023,7,fri,1900-01-01 19:10:00,con heridos,choque,calle 93 # 43-52,1,1,,361,4.67298,-74.04541
362,2023-07-07,2023,7,fri,1900-01-01 07:50:00,con heridos,choque,calle 110 carrera 43,1,1,,362,10.99217,-74.80805
363,2023-07-07,2023,7,fri,1900-01-01 08:20:00,con heridos,choque,carrera 43 calle 41,1,1,,363,10.98215,-74.78272
364,2023-07-07,2023,7,fri,1900-01-01 08:50:00,con heridos,choque,carrera 38 calle 68,1,1,,364,10.98335,-74.80343
365,2023-07-07,2023,7,fri,1900-01-01 11:40:00,con heridos,choque,carrera 42 con calle 80,1,1,,365,10.98932,-74.82066
366,2023-07-07,2023,7,fri,1900-01-01 12:50:00,con heridos,atropello,carrera 42b1 # 86-79,1,1,,366,10.99475,-74.82681
367,2023-07-08,2023,8,mon,1900-01-01 15:00:00,con heridos,atropello,calle 30 # 30-12,1,1,,367,39.52676,-0.48606
368,2023-07-08,2023,8,mon,1900-01-01 17:30:00,con heridos,choque,via 40 carrera 67,1,1,,368,11.00648,-74.78962
369,2023-07-08,2023,8,mon,1900-01-01 00:10:00,con heridos,choque,cra 27 con calle 36,2,1,,369,10.98417,-74.82387
370,2023-07-09,2023,9,thu,1900-01-01 16:30:00,con heridos,atropello,carrera 43 calle 69,1,1,,370,10.98934,-74.80301
371,2023-07-09,2023,9,thu,1900-01-01 18:00:00,con heridos,choque,carrera 7 con calle 7 juan mina,1,1,,371,10.94546,-74.76802
372,2023-07-09,2023,9,thu,1900-01-01 19:30:00,con heridos,choque,carrera 44 calle 48,2,1,,372,10.98515,-74.788
373,2023-07-09,2023,9,thu,1900-01-01 09:10:00,con heridos,choque,carrera 14 con calle 54,3,1,,373,10.97908,-74.79612
374,2023-07-09,2023,9,thu,1900-01-01 11:30:00,con muertos,atropello,carrera 15 sur calle 74,0,1,1,374,10.95308,-74.8195
375,2023-07-09,2023,9,thu,1900-01-01 12:40:00,con heridos,choque,carrera 59 con calle 68,2,1,,375,10.99905,-74.79552
376,2023-07-09,2023,9,thu,1900-01-01 12:50:00,con heridos,choque,calle 35 carrera 33,2,1,,376,10.97257,-74.7817
377,2023-07-10,2023,10,sat,1900-01-01 13:00:00,con heridos,choque,calle 31 con cra 14,1,1,,377,10.95206,-74.7874
378,2023-07-10,2023,10,sat,1900-01-01 19:10:00,con heridos,atropello,calle 46h con cra 1e,1,1,,378,10.93262,-74.80295
379,2023-07-10,2023,10,sat,1900-01-01 09:20:00,con heridos,choque,carrera 37 calle 113,1,1,,379,10.98133,-74.83769
380,2023-07-10,2023,10,sat,1900-01-01 21:50:00,con heridos,choque,carrera 21a con calle 53b,2,1,,380,10.96715,-74.7995
381,2023-07-10,2023,10,sat,1900-01-01 22:30:00,con heridos,choque,avenida circunvalar carrera 24,3,1,,381,10.96212,-74.77974
382,2023-07-11,2023,11,tue,1900-01-01 14:00:00,con heridos,choque,calle 45g carrera 2e,1,1,,382,10.9354,-74.80724
383,2023-07-11,2023,11,tue,1900-01-01 16:10:00,con heridos,choque,calle 76 con carrera 50,1,1,,383,11.00044,-74.80817
384,2023-07-11,2023,11,tue,1900-01-01 07:30:00,con heridos,choque,calle 30 cra 27,7,1,,384,10.97705,-74.83237
385,2023-07-11,2023,11,tue,1900-01-01 08:00:00,con heridos,choque,carrera 36 con calle 34,1,1,,385,10.98417,-74.82387
386,2023-07-11,2023,11,tue,1900-01-01 21:15:00,con heridos,volcamiento,calle 110 # 26-117,2,1,,386,21.27991,-89.67768
387,2023-07-11,2023,11,tue,1900-01-01 11:00:00,con heridos,choque,cra 58 calle 82,2,1,,387,11.00944,-74.81149
388,2023-08-01,2023,1,sun,1900-01-01 15:40:00,con heridos,choque,carrera 58 con calle 96,1,1,,388,11.01624,-74.82239
389,2023-08-01,2023,1,sun,1900-01-01 17:10:00,con heridos,choque,calle 69 carrera 49,1,1,,389,10.99487,-74.80132
390,2023-08-01,2023,1,sun,1900-01-01 19:30:00,con heridos,atropello,calle 17 carrera 32,1,1,,390,10.96939,-74.77435
391,2023-08-02,2023,2,wed,1900-01-01 13:30:00,con heridos,atropello,calle 90 carrera 6,3,1,,391,10.94541,-74.82411
392,2023-08-02,2023,2,wed,1900-01-01 13:50:00,con heridos,choque,calle 47 carrera 20,21,1,,392,10.96217,-74.79679
